id,ibpu_percentage,ibpa_percentage,tdc_percentage
1,58.02,53.08,8.68
2,55.55,48.76,20.37
3,51.85,54.93,14.46
4,65.43,62.96,14.46
5,50.61,40.74,31.01
6,41.97,50.61,17.36
7,44.44,55.55,14.46
8,39.5,46.29,11.57
9,61.72,63.58,26.04
10,75.3,53.7,23.14
11,49.38,58.64,23.14
12,45.67,51.23,31.94
13,53.08,53.08,23.26
14,49.38,54.32,28.12
15,60.49,55.55,17.36
16,67.9,61.11,26.04
17,70.37,62.96,22.22
18,60.49,50.0,14.46
19,58.02,56.79,38.88
20,53.08,56.17,31.01
21,60.49,59.25,20.25
22,66.66,64.81,17.36
23,67.9,65.43,16.43
24,67.9,59.87,14.46
25,56.79,55.55,17.36
26,59.25,59.25,22.22
27,49.38,50.0,44.56
28,59.25,59.87,28.93
29,65.43,58.02,16.43
30,56.79,52.46,28.12
31,56.79,59.25,31.94
32,39.5,51.85,11.57
33,72.83,64.19,11.57
34,58.02,56.17,5.78
35,65.43,52.46,8.68
36,62.96,63.58,19.32
37,45.67,51.23,17.36
38,62.96,55.55,8.68
39,65.43,55.55,32.87
40,45.67,48.14,20.37
41,55.55,55.55,32.98
42,53.08,48.76,32.98
43,54.32,52.46,11.57
44,56.79,56.17,13.54
45,60.49,56.79,23.14
46,61.72,56.79,17.36
47,55.55,53.08,19.32
48,67.9,59.87,19.32
49,58.02,53.08,17.36
50,48.14,56.79,22.22
51,51.85,50.0,26.15
52,56.79,54.32,17.36
53,65.43,58.02,36.8
54,62.96,57.4,29.05
55,40.74,51.23,20.25
56,61.72,61.11,26.04
57,44.44,55.55,19.32
58,62.96,56.79,28.0
59,55.55,54.32,11.57
60,54.32,58.02,23.26
61,54.32,64.19,8.68
62,48.14,50.0,37.84
63,54.32,51.23,8.68
64,44.44,53.7,10.64
65,60.49,56.17,16.43
66,59.25,54.32,22.33
67,59.25,56.17,11.57
68,61.72,58.02,20.25
69,53.08,53.08,17.36
70,67.9,59.87,11.57
71,53.08,45.06,23.14
72,65.43,57.4,29.05
73,59.25,51.85,32.98
74,70.37,60.49,5.78
75,53.08,55.55,17.36
76,51.85,55.55,16.43
77,49.38,51.23,17.36
78,54.32,51.23,14.46
79,58.02,52.46,20.37
80,50.61,54.93,10.64
81,54.32,54.32,16.43
82,59.25,52.46,20.25
83,37.03,45.67,26.15
84,70.37,59.25,34.72
85,67.9,57.4,8.68
86,53.08,45.06,11.57
87,55.55,56.17,26.04
88,58.02,54.93,17.36
89,58.02,57.4,14.46
90,60.49,61.11,35.76
91,66.66,55.55,10.64
92,62.96,58.64,20.25
93,49.38,51.23,26.04
94,62.96,58.02,39.69
95,55.55,61.72,17.36
96,76.54,66.66,22.33
97,62.96,45.67,25.23
98,56.79,56.17,23.14
99,64.19,50.0,63.19
100,48.14,48.76,14.46
101,56.79,54.93,8.68
102,67.9,61.11,8.68
103,60.49,63.58,22.22
104,65.43,59.25,20.25
105,53.08,57.4,17.36
106,55.55,62.96,17.36
107,62.96,58.02,20.25
108,48.14,49.38,20.25
109,53.08,46.91,5.78
110,50.61,56.79,14.46
111,45.67,45.06,14.46
112,43.2,50.0,26.04
113,66.66,50.61,17.47
114,65.43,58.02,11.57
115,50.61,49.38,33.91
116,67.9,61.72,8.68
117,54.32,53.08,14.46
118,56.79,58.02,5.78
119,49.38,55.55,23.26
120,66.66,58.64,11.57
121,60.49,65.43,14.46
122,54.32,46.91,19.32
123,56.79,58.64,23.14
124,55.55,54.93,40.74
125,48.14,55.55,8.68
126,54.32,58.02,20.25
127,62.96,59.87,44.67
128,53.08,54.32,25.23
129,51.85,57.4,14.46
130,46.91,53.7,34.02
131,58.02,53.08,20.25
132,58.02,54.93,14.46
133,54.32,56.79,26.04
134,53.08,64.19,8.68
135,53.08,59.87,8.68
136,50.61,46.29,8.68
137,49.38,50.0,23.14
138,61.72,58.64,28.93
139,65.43,59.25,8.68
140,53.08,56.79,17.36
141,59.25,48.14,31.01
142,51.85,51.23,25.11
143,44.44,51.85,29.05
144,65.43,59.25,23.26
145,56.79,56.79,17.36
146,60.49,47.53,19.44
147,70.37,48.76,23.14
148,60.49,55.55,24.3
149,60.49,58.64,23.26
150,65.43,59.25,22.22
151,53.08,48.14,19.32
152,70.37,66.04,28.12
153,60.49,59.87,17.36
154,60.49,52.46,5.78
155,59.25,55.55,17.36
156,59.25,57.4,11.57
157,33.33,40.74,17.36
158,62.96,59.25,23.14
159,55.55,59.25,33.79
160,62.96,65.43,16.43
161,54.32,52.46,11.57
162,75.3,51.85,5.78
163,59.25,55.55,11.57
164,61.72,56.17,8.68
165,60.49,59.25,5.78
166,46.91,51.23,28.0
167,60.49,59.25,13.54
168,51.85,58.64,11.57
169,66.66,56.17,8.68
170,64.19,62.34,8.68
171,55.55,53.7,17.36
172,70.37,56.79,22.22
173,54.32,48.76,11.57
174,59.25,55.55,28.93
175,59.25,51.85,51.27
176,50.61,50.0,11.57
177,65.43,55.55,29.05
178,65.43,65.43,23.26
179,62.96,59.87,25.23
180,43.2,46.91,20.25
181,56.79,57.4,13.54
182,40.74,46.91,34.83
183,55.55,56.79,14.46
184,58.02,53.08,22.33
185,51.85,48.14,26.04
186,54.32,53.7,35.87
187,56.79,56.17,20.25
188,56.79,50.0,11.57
189,60.49,58.64,22.22
190,59.25,56.17,23.14
191,41.97,48.14,8.68
192,67.9,58.64,14.46
193,62.96,61.72,8.68
194,60.49,59.25,34.02
195,49.38,58.02,20.25
196,53.08,58.64,17.36
197,46.91,47.53,11.57
198,55.55,59.87,14.46
199,53.08,59.87,23.26
200,54.32,53.7,17.36
201,51.85,50.61,26.15
202,60.49,57.4,17.36
203,40.74,51.85,8.68
204,55.55,56.79,5.78
205,53.08,51.85,8.68
206,70.37,59.87,17.36
207,59.25,47.53,25.23
208,71.6,66.04,28.12
209,59.25,57.4,17.36
210,53.08,50.61,23.26
211,48.14,52.46,11.57
212,64.19,61.72,8.68
213,69.13,63.58,23.14
214,65.43,58.64,17.36
215,65.43,52.46,8.68
216,60.49,51.85,17.47
217,54.32,48.14,14.46
218,62.96,56.79,34.83
219,60.49,53.08,17.36
220,62.96,57.4,14.46
221,67.9,59.25,8.68
222,64.19,64.81,11.57
223,54.32,53.7,23.26
224,50.61,54.32,14.46
225,54.32,52.46,5.78
226,50.61,43.82,23.14
227,70.37,50.61,17.47
228,61.72,66.66,28.93
229,58.02,59.25,23.14
230,61.72,56.79,25.23
231,62.96,57.4,45.83
232,77.77,63.58,11.57
233,49.38,51.85,23.14
234,50.61,49.38,8.68
235,75.3,65.43,25.11
236,54.32,49.38,22.22
237,51.85,52.46,36.8
238,51.85,58.02,17.36
239,48.14,49.38,19.32
240,70.37,62.34,29.97
241,53.08,54.93,25.23
242,61.72,55.55,8.68
243,60.49,58.64,13.54
244,62.96,65.43,16.43
245,48.14,54.93,22.33
246,62.96,58.02,23.14
247,59.25,57.4,19.32
248,55.55,54.93,20.25
249,61.72,61.72,26.15
250,54.32,55.55,23.14
251,53.08,48.14,11.57
252,64.19,58.64,14.46
253,75.3,54.93,23.14
254,55.55,56.17,11.57
255,49.38,51.85,14.46
256,65.43,62.34,20.25
257,41.97,46.29,38.88
258,51.85,51.85,26.15
259,59.25,57.4,14.46
260,51.85,56.79,29.05
261,46.91,50.61,26.04
262,67.9,63.58,38.77
263,55.55,55.55,33.79
264,69.13,62.34,23.26
265,59.25,57.4,11.57
266,51.85,58.02,17.36
267,76.54,46.91,17.36
268,65.43,50.61,13.54
269,62.96,51.23,14.46
270,54.32,61.11,25.23
271,70.37,56.79,14.46
272,54.32,58.02,14.46
273,61.72,58.02,14.46
274,56.79,50.61,5.78
275,65.43,62.96,17.36
276,49.38,48.14,23.14
277,82.71,66.04,28.12
278,61.72,62.34,23.14
279,55.55,49.38,31.94
280,51.85,52.46,14.58
281,70.37,62.34,23.26
282,53.08,49.38,22.22
283,59.25,58.02,26.04
284,65.43,56.79,21.29
285,66.66,51.85,26.15
286,53.08,55.55,33.79
287,51.85,65.43,19.44
288,55.55,52.46,14.46
289,67.9,61.11,23.14
290,60.49,58.02,5.78
291,61.72,53.7,29.16
292,51.85,60.49,31.01
293,58.02,58.64,17.36
294,59.25,59.87,14.46
295,55.55,50.0,35.87
296,70.37,63.58,11.57
297,71.6,64.19,14.46
298,62.96,59.25,11.57
299,70.37,52.46,14.46
300,58.02,55.55,25.23
301,59.25,58.64,16.43
302,71.6,61.11,33.91
303,64.19,56.17,8.68
304,58.02,58.64,20.25
305,46.91,41.35,29.05
306,55.55,51.85,8.68
307,53.08,47.53,17.36
308,40.74,42.59,14.46
309,62.96,50.0,17.36
310,56.79,56.79,14.46
311,60.49,52.46,41.55
312,59.25,57.4,17.36
313,62.96,63.58,19.32
314,67.9,53.08,2.89
315,48.14,50.61,28.12
316,49.38,56.17,26.04
317,51.85,49.38,37.73
318,48.14,51.23,14.46
319,65.43,53.08,11.57
320,54.32,50.0,22.22
321,54.32,62.96,5.78
322,66.66,64.19,23.14
323,58.02,55.55,14.46
324,53.08,54.93,42.7
325,80.24,67.9,22.22
326,70.37,61.72,11.57
327,65.43,55.55,23.14
328,58.02,54.93,8.68
329,48.14,55.55,5.78
330,40.74,51.23,38.77
331,66.66,54.32,22.33
332,72.83,59.25,19.32
333,70.37,65.43,26.15
334,49.38,52.46,24.18
335,53.08,51.85,11.57
336,65.43,61.72,14.46
337,58.02,47.53,33.91
338,41.97,41.97,14.46
339,60.49,56.17,28.0
340,55.55,58.64,14.46
341,53.08,56.17,11.57
342,55.55,51.23,17.36
343,62.96,62.34,23.26
344,58.02,49.38,11.57
345,50.61,48.14,17.36
346,70.37,63.58,22.22
347,53.08,49.38,36.8
348,54.32,54.32,26.15
349,65.43,62.96,19.44
350,53.08,54.93,8.68
351,62.96,59.25,14.46
352,65.43,59.25,34.83
353,49.38,50.61,22.22
354,64.19,62.96,22.33
355,66.66,53.7,38.88
356,65.43,61.11,29.05
357,70.37,54.93,28.12
358,55.55,61.72,20.25
359,58.02,57.4,11.57
360,65.43,56.79,17.36
361,61.72,62.34,5.78
362,53.08,56.79,31.82
363,61.72,61.72,8.68
364,65.43,55.55,11.57
365,58.02,51.85,11.57
366,46.91,55.55,8.68
367,58.02,60.49,20.25
368,53.08,58.64,8.68
369,44.44,58.64,22.22
370,58.02,53.08,17.36
371,67.9,60.49,48.49
372,44.44,51.23,8.68
373,55.55,56.17,17.36
374,67.9,63.58,7.75
375,60.49,62.96,8.68
376,51.85,45.06,22.22
377,53.08,55.55,33.91
